지점,일시,평균,최고,최저
90,2004-04-01,12.7,29,2.4
90,2004-05-01,16.7,29.2,7.7
90,2004-06-01,20.8,31.3,12.7
90,2004-07-01,23.9,37.1,17
90,2004-08-01,23.1,34.3,16.1
90,2004-09-01,20.1,30.5,13.4
90,2004-10-01,14.8,25.1,6.6
90,2004-11-01,10.6,20.1,1.5
90,2004-12-01,4.2,17.8,-6.3
90,2005-01-01,-0.1,9.8,-9.6
90,2005-02-01,-0.8,7.3,-13.1
90,2005-03-01,4.2,18.1,-7.9
90,2005-04-01,12.8,32,0.4
90,2005-05-01,14.4,29.7,6
90,2005-06-01,20.6,33.2,12.6
90,2005-07-01,24,34.4,17.4
90,2005-08-01,25,36,16.6
90,2005-09-01,20,32.2,13.3
90,2005-10-01,15,27.7,4.5
90,2005-11-01,9.8,22.4,-0.7
90,2005-12-01,-1.4,11.6,-13.1
90,2006-01-01,0.2,8.3,-9.6
90,2006-02-01,1.5,16.1,-11.9
90,2006-03-01,6,18.9,-6.4
90,2006-04-01,9.5,25.6,1.9
90,2006-05-01,14.4,29.8,3.8
90,2006-06-01,18.4,30.8,12.1
90,2006-07-01,21,32.6,15
90,2006-08-01,25.2,33,16.7
90,2006-09-01,19.1,27.4,10.9
90,2006-10-01,17.1,29.3,8.4
90,2006-11-01,8.5,20.6,-0.8
90,2006-12-01,2,11.3,-11.2
90,2007-01-01,0.7,8.9,-7.8
90,2007-02-01,4.1,18.8,-8.6
90,2007-03-01,6.6,19,-6
90,2007-04-01,11.7,27.6,1.9
90,2007-05-01,17.1,30.3,7.2
90,2007-06-01,20.3,30.5,12.1
90,2007-07-01,22.1,34.5,16.9
90,2007-08-01,24.9,35.3,18.6
90,2007-09-01,20.7,30,13
90,2007-10-01,15.3,27.8,4.5
90,2007-11-01,8.4,19.9,-4.1
90,2007-12-01,3.5,11.8,-6.8
90,2008-01-01,0.3,10.7,-9.5
90,2008-02-01,1.3,12.8,-9.8
90,2008-03-01,7.3,17.7,-1.3
90,2008-04-01,13.1,29.5,4.9
90,2008-05-01,16.8,29.8,6.7
90,2008-06-01,18.7,31.2,11.4
90,2008-07-01,25.3,34.7,16.9
90,2008-08-01,23.4,33,15.5
90,2008-09-01,20.7,29.8,9.7
90,2008-10-01,16.8,28.8,5
90,2008-11-01,9.1,22.3,-5.2
90,2008-12-01,3.6,14.5,-10.9
90,2009-01-01,0.2,10.5,-10
90,2009-02-01,4.5,12.8,-7.1
90,2009-03-01,7,25.7,-3
90,2009-04-01,12.8,29.3,1.9
90,2009-05-01,17.7,30.3,9.6
90,2009-06-01,20.2,32.4,12.8
90,2009-07-01,21.7,32,15.7
90,2009-08-01,23.1,32.1,14.7
90,2009-09-01,20,29,13.9
90,2009-10-01,16.3,26.2,7.6
90,2009-11-01,8.2,23.2,-3.7
90,2009-12-01,2,11.3,-9.6
90,2010-01-01,-0.4,12.6,-11.6
90,2010-02-01,1.5,14.2,-8.7
90,2010-03-01,3.7,13.2,-2.2
90,2010-04-01,9.1,20.3,0.4
90,2010-05-01,16,30.9,5
90,2010-06-01,20.1,29.2,6.6
90,2010-07-01,25,35.1,18.1
90,2010-08-01,25.7,35.1,19.6
90,2010-09-01,20.4,31.1,9.5
90,2010-10-01,14.9,24.4,2.4
90,2010-11-01,9.1,21.1,-1.9
90,2010-12-01,2.8,17.7,-10.7
90,2011-01-01,-2.7,6.3,-13.2
90,2011-02-01,2.1,15.1,-9
90,2011-03-01,5.3,18.7,-5.9
90,2011-04-01,11.4,24.6,0.9
90,2011-05-01,14.3,26.6,6.4
90,2011-06-01,20.2,35.3,11.5
90,2011-07-01,22.3,30.7,17.7
90,2011-08-01,24.8,35.7,18.7
90,2011-09-01,20.4,29,12.3
90,2011-10-01,14.9,26.4,4.6
90,2011-11-01,11,19.3,-0.5
90,2011-12-01,1.3,9.7,-8.7
90,2012-01-01,-0.4,6.4,-8.9
90,2012-02-01,0.1,11,-14.3
90,2012-03-01,5.3,19.4,-4.3
90,2012-04-01,12.1,24.3,0.5
90,2012-05-01,16.4,27.8,9.6
90,2012-06-01,19.8,29,13.6
90,2012-07-01,23.9,34.7,17.2
90,2012-08-01,24.4,31.3,18.1
90,2012-09-01,19.6,29.3,11.7
90,2012-10-01,15.8,24,6.2
90,2012-11-01,7.6,16.9,-1.7
90,2012-12-01,-0.5,11.2,-11.8
90,2013-01-01,-0.8,10,-11.5
90,2013-02-01,1.3,13.5,-14.1
90,2013-03-01,6.3,18.8,-6.1
90,2013-04-01,10.3,22.1,2
90,2013-05-01,16.9,29,7
90,2013-06-01,20.4,29.4,12.8
90,2013-07-01,25.6,33.6,19.6
90,2013-08-01,27.4,35.8,18.1
90,2013-09-01,20.3,29.2,11.3
90,2013-10-01,15.7,26,7.2
90,2013-11-01,8.4,19.9,-4
90,2013-12-01,2.7,13,-6.6
90,2014-01-01,1.9,12.6,-8.8
90,2014-02-01,1,16.7,-7.9
90,2014-03-01,7.9,26.9,-4.2
90,2014-04-01,13.3,27,0.7
90,2014-05-01,18.1,32.5,8.1
90,2014-06-01,19.9,32.8,13.7
90,2014-07-01,25.1,34.6,16.9
90,2014-08-01,23.5,33.3,15.6
90,2014-09-01,20.6,31,12.7
90,2014-10-01,15.8,24.6,6.6
90,2014-11-01,10.2,19.5,-1.9
90,2014-12-01,0.6,11.7,-10.8
90,2015-01-01,1.8,12.2,-7.9
90,2015-02-01,2.4,14.5,-10.4
90,2015-03-01,6.6,21.4,-5
90,2015-04-01,11.1,29.8,1.2
90,2015-05-01,17.8,32.6,7.8
90,2015-06-01,19.5,30.1,12.7
90,2015-07-01,22.7,35.4,14.8
90,2015-08-01,24.2,33,16.1
90,2015-09-01,19.1,27.1,12.5
90,2015-10-01,14.7,26.2,1
90,2015-11-01,8.4,21.7,-3.2
90,2015-12-01,3,10.9,-7.2
90,2016-01-01,-1.2,11.5,-16.4
90,2016-02-01,0.8,10.3,-9.4
90,2016-03-01,7,21.5,-7.6
90,2016-04-01,12.6,29.3,3.6
90,2016-05-01,17.2,29,7.3
90,2016-06-01,20.6,30.5,12.6
90,2016-07-01,22.9,31.9,17
90,2016-08-01,25.5,35.9,15.3
90,2016-09-01,20.4,28.6,13.2
90,2016-10-01,15.3,24.2,3.3
90,2016-11-01,8.4,20.8,-2.5
90,2016-12-01,4.4,14.1,-6.1
90,2017-01-01,0.8,11.3,-11.2
90,2017-02-01,3,14.7,-8.2
90,2017-03-01,7,18.5,-2.8
90,2017-04-01,14.8,30.8,2.6
90,2017-05-01,18.7,34.3,9.3
90,2017-06-01,19.8,29.7,9.9
90,2017-07-01,25.6,34.9,18.9
90,2017-08-01,23.7,32.4,16.4
90,2017-09-01,20.8,28.4,13.1
90,2017-10-01,14.5,25,4
90,2017-11-01,7.8,20.4,-4
90,2017-12-01,0.7,11.4,-9.9
90,2018-01-01,-1.4,11.9,-16.2
90,2018-02-01,-0.5,10.5,-13.2
90,2018-03-01,8,24.7,-6.2
90,2018-04-01,13,32.5,2
90,2018-05-01,15.9,29.4,4.5
90,2018-06-01,21.3,33.9,13.2
90,2018-07-01,25,35.4,14.8
90,2018-08-01,25.6,38.7,17.2
90,2018-09-01,20,29,12.6
90,2018-10-01,13.5,23.8,0.3
90,2018-11-01,9.2,19.2,-1.9
90,2018-12-01,1.6,12.7,-11.4
90,2019-01-01,1.7,12.8,-9
90,2019-02-01,2.5,15.7,-7.3
90,2019-03-01,8.2,21.6,-1.4
90,2019-04-01,11.9,25.9,1.3
90,2019-05-01,19.8,34.2,6.5
90,2019-06-01,20,30.2,11.5
90,2019-07-01,,30.4,19.4
93,2016-10-01,14.1,29,-1.9
93,2016-11-01,5.1,19.5,-9.1
93,2016-12-01,-0.2,10.2,-12.1
93,2017-01-01,-3.4,11.6,-17
93,2017-02-01,-1.5,12.2,-15.7
93,2017-03-01,4.6,19,-8.3
93,2017-04-01,13.2,29.1,-0.8
93,2017-05-01,18.6,30.7,6.7
93,2017-06-01,22.3,35,9.2
93,2017-07-01,26.3,34.9,19.4
93,2017-08-01,24.4,37.5,13.9
93,2017-09-01,19.1,30.5,4.9
93,2017-10-01,13.5,26.9,-3.7
93,2017-11-01,3.2,18.8,-10.2
93,2017-12-01,-4.3,8.6,-19
93,2018-01-01,-6,8.6,-21.7
93,2018-02-01,-3.4,10.4,-19.2
93,2018-03-01,7,23.4,-8.2
93,2018-04-01,12,29.2,-3
93,2018-05-01,17.2,31,2.9
93,2018-06-01,22.6,34.5,11.9
93,2018-07-01,26.3,37.6,13.7
93,2018-08-01,26.9,40.6,15.8
93,2018-09-01,19.1,29.5,6.5
93,2018-10-01,10.3,25,-2.5
93,2018-11-01,5.1,19.3,-7.3
93,2018-12-01,-3.2,12,-16.9
93,2019-01-01,-3.9,8.3,-15.1
93,2019-02-01,-0.6,13.4,-13.6
93,2019-03-01,5,18.3,-7.3
93,2019-04-01,10.6,28.3,-5.1
93,2019-05-01,18.3,33.3,2.6
93,2019-06-01,21.4,33.1,9.9
93,2019-07-01,,36.2,16.3
95,1988-01-01,-4.6,7.3,-17.6
95,1988-02-01,-4,10.8,-17.6
95,1988-03-01,2,16,-11.5
95,1988-04-01,9.8,26.5,-2.2
95,1988-05-01,17,32.4,3.2
95,1988-06-01,21.6,32.8,10.8
95,1988-07-01,23.3,33.4,14.2
95,1988-08-01,25.7,36.9,16.4
95,1988-09-01,18.8,30.8,6.8
95,1988-10-01,11.2,24.8,-5.4
95,1988-11-01,2,16.6,-11.2
95,1988-12-01,-2.8,14.4,-16
